# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(Ts)
1.66              	2.8500000000e+02
1.665             	2.8800013491e+02
1.67              	2.8800001630e+02
1.675             	2.8800000462e+02
1.68              	2.8800000186e+02
1.685             	2.8800000091e+02
1.69              	2.8800000050e+02
1.695             	2.8800000030e+02
1.7               	2.8800000019e+02
1.705             	2.8800000013e+02
1.71              	2.8800000009e+02
1.715             	2.8800000006e+02
1.72              	2.8800000005e+02
1.725             	2.8800000003e+02
1.73              	2.8800000003e+02
1.735             	2.8800000002e+02
1.74              	2.8800000002e+02
1.745             	2.8800000001e+02
1.75              	2.8800000001e+02
1.755             	2.8800000001e+02
1.76              	3.0000000000e+02
1.765             	3.0000000000e+02
1.77              	3.0000000000e+02
1.775             	3.0000000000e+02
1.78              	3.0000000000e+02
1.785             	3.0000000000e+02
1.79              	3.0000000000e+02
1.795             	3.0000000000e+02
1.8               	3.0000000000e+02
1.805             	3.0000000000e+02
1.81              	3.0000000000e+02
1.815             	3.0000000000e+02
1.82              	3.0000000000e+02
1.825             	3.0000000000e+02
1.83              	3.0000000000e+02
1.835             	3.0000000000e+02
1.84              	3.0000000000e+02
1.845             	3.0000000000e+02
1.85              	3.0000000000e+02
1.855             	3.0000000000e+02
1.86              	3.0000000000e+02
1.865             	3.0000000000e+02
1.87              	3.0000000000e+02
1.875             	3.0000000000e+02
1.88              	3.0000000000e+02
1.885             	3.0000000000e+02
1.89              	3.0000000000e+02
1.895             	3.0000000000e+02
1.9               	3.0000000000e+02
1.905             	3.0000000000e+02
1.91              	3.0000000000e+02
1.915             	3.0000000000e+02
1.92              	3.0000000000e+02
1.925             	3.0000000000e+02
1.93              	3.0000000000e+02
1.935             	3.0000000000e+02
1.94              	3.0000000000e+02
1.945             	3.0000000000e+02
1.95              	3.0000000000e+02
1.955             	3.0000000000e+02
1.96              	3.0000000000e+02
1.965             	3.0000000000e+02
1.97              	3.0000000000e+02
1.975             	3.0000000000e+02
1.98              	3.0000000000e+02
1.985             	3.0000000000e+02
1.99              	3.0000000000e+02
1.995             	3.0000000000e+02
2                 	3.0000000000e+02
