# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(porosityF)
1.49              	6.2750003000e-01
1.495             	6.2625003000e-01
1.5               	6.2500003000e-01
1.505             	6.2375003000e-01
1.51              	6.2250003000e-01
1.515             	6.2125003000e-01
1.52              	6.2000003000e-01
1.525             	6.1875003000e-01
1.53              	6.1750003000e-01
1.535             	6.1625003000e-01
1.54              	6.1500003000e-01
1.545             	6.1375003000e-01
1.55              	6.1250003000e-01
1.555             	6.1125003000e-01
1.56              	6.1000003000e-01
1.565             	6.0875003000e-01
1.57              	6.0750003000e-01
1.575             	6.0625003000e-01
1.58              	6.0500003000e-01
1.585             	6.0375003000e-01
1.59              	6.0250003000e-01
1.595             	6.0125003000e-01
1.6               	6.0000003000e-01
1.605             	5.9875003000e-01
1.61              	5.9750003000e-01
1.615             	5.9625003000e-01
1.62              	5.9500003000e-01
1.625             	5.9375003000e-01
1.63              	5.9250003000e-01
1.635             	5.9125003000e-01
1.64              	5.9000003000e-01
1.645             	5.8875003000e-01
1.65              	5.8750003000e-01
1.655             	5.8625003000e-01
1.66              	5.8500003000e-01
1.665             	5.8375003000e-01
1.67              	5.8250003000e-01
1.675             	5.8125003000e-01
1.68              	5.8000003000e-01
1.685             	5.7875003000e-01
1.69              	5.7750003000e-01
1.695             	5.7625003000e-01
1.7               	5.7500003000e-01
1.705             	5.7375003000e-01
1.71              	5.7250003000e-01
1.715             	5.7125003000e-01
1.72              	5.7000003000e-01
1.725             	5.6875003000e-01
1.73              	5.6750003000e-01
1.735             	5.6625003000e-01
1.74              	5.6500003000e-01
1.745             	5.6375003000e-01
1.75              	5.6250003000e-01
1.755             	5.6125003000e-01
1.76              	5.6000003000e-01
1.765             	5.5875034585e-01
1.77              	5.5750203847e-01
1.775             	5.5625622832e-01
1.78              	5.5501398863e-01
1.785             	5.5377634709e-01
1.79              	5.5254428745e-01
1.795             	5.5131875073e-01
1.8               	5.5010063648e-01
1.805             	5.4889080369e-01
1.81              	5.4769007460e-01
1.815             	5.4649926204e-01
1.82              	5.4531918279e-01
1.825             	5.4415046286e-01
1.83              	5.4299344551e-01
1.835             	5.4184845433e-01
1.84              	5.4071581314e-01
1.845             	5.3959584381e-01
1.85              	5.3848886428e-01
1.855             	5.3739518675e-01
1.86              	5.3631511609e-01
1.865             	5.3524894842e-01
1.87              	5.3419696986e-01
1.875             	5.3315945537e-01
1.88              	5.3213670099e-01
1.885             	5.3112953951e-01
1.89              	5.3013911971e-01
1.895             	5.2916644142e-01
1.9               	5.2821235828e-01
1.905             	5.2727758966e-01
1.91              	5.2636273187e-01
1.915             	5.2546826862e-01
1.92              	5.2459458070e-01
1.925             	5.2374195509e-01
1.93              	5.2291059341e-01
1.935             	5.2210061977e-01
1.94              	5.2131208805e-01
1.945             	5.2054498875e-01
1.95              	5.1979925523e-01
1.955             	5.1907476954e-01
1.96              	5.1837136788e-01
1.965             	5.1768884553e-01
1.97              	5.1702696151e-01
1.975             	5.1638544280e-01
1.98              	5.1576398833e-01
1.985             	5.1516227255e-01
1.99              	5.1457994875e-01
1.995             	5.1401665215e-01
2                 	5.1347200269e-01
