# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.37              	1.9424986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.375             	1.9687486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.38              	1.9949986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.385             	2.0212486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.39              	2.0474986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.395             	2.0737486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.4               	2.0999986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.405             	2.1262486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.41              	2.1524986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.415             	2.1787486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.42              	2.2049986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.425             	2.2312486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.43              	2.2574986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.435             	2.2837486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.44              	2.3099986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.445             	2.3362486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.45              	2.3624986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.455             	2.3887486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.46              	2.4149986140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.465             	2.4412486140e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
